Date,Sentiment
2019-10-26,-0.29205
2019-10-15,0.11315
2019-09-23,0.17
2019-09-19,0.26335
2019-09-12,0.23835
2019-08-19,-0.44905
2019-08-13,0.0
2019-08-07,-0.31845
2019-08-06,-0.3404
2019-07-16,-0.2997
2019-07-12,-0.28595
2019-07-11,-0.34895
2019-07-09,0.21075
2019-07-06,0.1695
2019-07-01,0.2228
2019-06-28,0.44155
2019-06-27,0.09505
2019-06-26,0.2553
2019-06-25,0.2202
2019-06-22,0.29295
2019-06-20,0.2346
2019-06-17,0.27115
2019-06-15,0.47305
2019-06-04,0.10115
2019-05-31,-0.39185
2019-05-28,0.0
2019-05-27,0.0
2019-05-20,0.74635
2019-05-18,0.67365
2019-05-16,0.2294
2019-05-15,0.46645
2019-05-14,0.4462
2019-05-13,0.064
2019-05-09,0.0
2019-05-08,-0.04595
2019-05-04,-0.34735
2019-04-27,0.21005
2019-04-09,0.20095
2019-04-05,0.0
2019-04-03,0.1591
2019-04-01,0.26335
2019-03-23,0.0
2019-03-15,-0.52245
2019-03-14,-0.148
2019-02-13,-0.17
2019-02-06,-0.6114
2019-01-04,-0.0386
2019-01-03,-0.0386
2018-12-24,0.20095
2018-12-11,0.28595
2018-11-27,-0.82205
2018-11-25,0.17
2018-11-24,-0.20095
2018-11-22,-0.5775
2018-11-20,0.1582
2018-11-17,-0.2427
2018-11-16,-0.26335
2018-10-31,-0.1591
2018-10-24,0.0
2018-10-23,0.0
2018-10-08,-0.1366
2018-10-06,-0.1366
2018-09-20,-0.35755
2018-09-19,-0.5849
2018-09-07,0.064
2018-08-28,-0.128
2018-08-27,-0.128
2018-08-23,-0.2616
2018-08-22,-0.05135
2018-08-21,-0.05135
2018-07-24,-0.56305
2018-07-23,0.0
2018-07-18,-0.05135
2018-06-29,0.05135
2018-06-27,-0.3182
2018-06-25,-0.4588
2018-06-14,-0.28595
2018-06-13,0.064
2018-05-28,0.1591
2018-05-23,0.2077
2018-05-22,0.17
2018-05-10,0.2294
2018-04-30,-0.3793
2018-04-28,-0.3982
2018-04-25,0.48945
2018-04-21,-0.23835
2018-04-19,0.4215
2018-04-18,0.4215
2018-04-14,0.3404
2018-04-11,0.14325
2018-04-06,0.2202
2018-03-31,-0.6059
2018-03-30,-0.55315
2018-03-23,-0.6059
2018-03-16,-0.4381
2018-03-15,-0.04595
2018-03-09,-0.3825
2018-03-05,0.38915
2018-03-03,-0.29675
2018-02-26,-0.4423
2018-02-23,0.0
2018-02-20,-0.40015
2018-02-19,0.37095
2018-02-07,-0.34735
2018-02-06,0.31465
2018-02-05,0.1806
2018-02-03,-0.0536
2018-02-02,-0.29295
2018-02-01,-0.7517
2018-01-29,-0.064
2018-01-24,0.0334
2018-01-22,-0.3062
2018-01-20,-0.33185
2018-01-19,-0.07655
2018-01-18,0.148
2018-01-17,0.13795
2018-01-16,0.0604
2018-01-15,0.0
2018-01-12,0.2202
2018-01-11,-0.17
2018-01-10,0.2155
2018-01-09,-0.462
2018-01-06,0.08895
2018-01-05,0.38155
2018-01-04,0.05135
2018-01-03,0.0215
2018-01-02,-0.27115
2018-01-01,0.148
2017-12-30,0.4019
2017-12-29,0.1909
2017-12-28,-0.1591
2017-12-27,0.29295
